"Company Code Code","Employee ID","PERNER","Approval Status","Entry Date","WBS / SO Name","Cost Center Name","Labor Type Name","Job Activity Type","Task Name","Time Type","Attendance Type Code","Billable Indicator","Hours (Current)","Rate Type","Short Time Entry ID","Time Off Booking ID","Comments","WBS Type","Task Task Type","New Remaining Work","Customer 1","Customer 2","Customer 3","GSAP Billable Flag","Time Off Type Description","Master WBS (SO, WO)","Project Type","IWO Indicator","Parent WBS","Company Code Name","Task Name (Full Path)","Time Entry ID","Employee Type Name","Timesheet Period","Location Name","Login Name","User","IWO WBS Element","Work Order ID","Parent Service Order","CWF C1 alternate ID","Parent Project"
"C1","29090439","99748558","Approved","19/04/2021","R-010020403.0003","C121999951","","","R-010020403.0003","","","","8.00","Straight Time","6628","","","C1 WBS","","","","","","","","WBS","RV","","","1219","R-010020403.0003","a0b27e56-4ad8-47a8-b905-252ef8deb16a","Agency Contractor","17/04/2021 - 23/04/2021","","29090439@sittest.com","Gibson, Ella 29090439 29090439@sittest.com","0040002607","HPWO00091369","","99748558",""
"C1","29090439","99748558","Approved","03/05/2021","4004822","C121999951","LEGACY BILLING|Billable","","4004822","","","","0.00","Straight Time","7259","","","C1 WBS","","","","","","","","SO","RV","","R-010020356.0012","1219","4004822","ccd73f0b-dd1e-47d2-b144-cc96d58f42c0","Agency Contractor","01/05/2021 - 07/05/2021","","29090439@sittest.com","Gibson, Ella 29090439 29090439@sittest.com","0000000000","HPWO00091369","","99748558",""
"C1","29090439","99748558","Approved","04/05/2021","4004822","C121999951","LEGACY BILLING|Billable","","4004822","","","","0.50","Straight Time","7260","","","C1 WBS","","","","","","","","SO","RV","","R-010020356.0012","1219","4004822","97636c13-c2dc-4c71-a9ba-866c3136631d","Agency Contractor","01/05/2021 - 07/05/2021","","29090439@sittest.com","Gibson, Ella 29090439 29090439@sittest.com","0000000000","HPWO00091369","","99748558",""
"C1","29090514","","Approved","17/05/2021","4099920","C110299951","LEGACY BILLING|Billable","","4099920","","","","6.40","Straight Time","84975","","","C1 WBS","","","","","","","","SO","RV","","R-010020403.0050","1102","4099920","1eca2b71-b0f7-4cda-8716-52ff7f0a88dc","Agency Contractor","15/05/2021 - 21/05/2021","","29090514@sittest.com","AC 1102, Roe 29090514 29090514@sittest.com","0041072668","HPWO00091523","","99748565",""
"C1","29090514","","Approved","18/05/2021","4099920","C110299951","LEGACY BILLING|Billable","","4099920","","","","6.40","Straight Time","84976","","","C1 WBS","","","","","","","","SO","RV","","R-010020403.0050","1102","4099920","b6b3eb34-3def-4cdd-8014-0f1345486c00","Agency Contractor","15/05/2021 - 21/05/2021","","29090514@sittest.com","AC 1102, Roe 29090514 29090514@sittest.com","0041072668","HPWO00091523","","99748565",""
"C1","29090514","","Approved","18/05/2021","R-010124018.0001","C110299951","ANALYST|Billable","","R-010124018.0001","","","","1.20","Straight Time","84980","","","C1 WBS","","","","","","","","WBS","RV","","","1102","R-010124018.0001","c783cbc0-0876-487f-9159-48094e199851","Agency Contractor","15/05/2021 - 21/05/2021","","29090514@sittest.com","AC 1102, Roe 29090514 29090514@sittest.com","","HPWO00091523","","99748565",""
"C1","29090514","","Approved","19/05/2021","4099920","C110299951","LEGACY BILLING|Billable","","4099920","","","","6.40","Straight Time","84977","","","C1 WBS","","","","","","","","SO","RV","","R-010020403.0050","1102","4099920","5114613a-f9d4-474a-9b94-c0ac240df6cc","Agency Contractor","15/05/2021 - 21/05/2021","","29090514@sittest.com","AC 1102, Roe 29090514 29090514@sittest.com","0041072668","HPWO00091523","","99748565",""
"C1","29090514","","Approved","20/05/2021","4099920","C110299951","LEGACY BILLING|Billable","","4099920","","","","6.40","Straight Time","84978","","","C1 WBS","","","","","","","","SO","RV","","R-010020403.0050","1102","4099920","743447fd-bb5b-4833-8611-88df710a3331","Agency Contractor","15/05/2021 - 21/05/2021","","29090514@sittest.com","AC 1102, Roe 29090514 29090514@sittest.com","0041072668","HPWO00091523","","99748565",""
"C1","29090514","","Approved","21/05/2021","4099920","C110299951","LEGACY BILLING|Billable","","4099920","","","","1.20","Straight Time","84979","","","C1 WBS","","","","","","","","SO","RV","","R-010020403.0050","1102","4099920","2952760b-6bed-4388-9cb7-7f1e11be49e2","Agency Contractor","15/05/2021 - 21/05/2021","","29090514@sittest.com","AC 1102, Roe 29090514 29090514@sittest.com","0041072668","HPWO00091523","","99748565",""
"C1","29090514","","Approved","24/05/2021","4099920","C110299951","LEGACY BILLING|Billable","","4099920","","","","4.60","Straight Time","84986","","","C1 WBS","","","","","","","","SO","RV","","R-010020403.0050","1102","4099920","6b56ffcf-866e-4b04-8c69-08646c03d563","Agency Contractor","22/05/2021 - 28/05/2021","","29090514@sittest.com","AC 1102, Roe 29090514 29090514@sittest.com","0041072668","HPWO00091523","","99748565",""
